stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021017366061000,Sannäs,59.906072,12.933101,1,,
9021017366062000,Smedsbyn,59.708888,13.227748,1,,
9021017366066000,Stöpafors E45,59.962267,13.106934,1,,
9021017366068000,"Sunne, Kyrkan",59.839982,13.157548,1,,
9021017366069000,Sunne Skicenter,59.805243,13.040121,1,,
9021017366072000,Haga,59.694452,13.143454,1,,
9021017366074000,"Sunne, Hotell Selma Lagerlöf",59.826236,13.135077,1,,
9021017366076000,"Sunne, Långgatan",59.837141,13.141376,1,,
9021017366077000,"Sunne, Vårdcentralen",59.843284,13.141403,1,,
9021017366079000,"Sunne, Sundsbergs gård",59.828287,13.137874,1,,
9021017366080000,"Sunne, Storgatan",59.837523,13.144290,1,,
9021017366081000,"Sunne, Tingshuset",59.832758,13.138730,1,,
9021017366082000,"Sunne, Torget",59.837014,13.147988,1,,
9021017366084000,Sätergården,60.069706,13.161333,1,,
9021017366086000,Tonerud,59.798155,13.064930,1,,
9021017366087000,Torsberg,59.867959,13.219080,1,,
9021017366089000,Uddebo Servicehus,59.943339,12.915160,1,,
9021017366090000,"Ulvsby, Länsmansgården",59.865928,13.133179,1,,
9021017366091000,Västra Ämtervik,59.726208,13.143454,1,,
9021017366094000,Vägvisaren,59.756034,13.214893,1,,
9021017366095000,Västerrottna,59.848605,12.944878,1,,
9021017366096000,"Västra Ämtervik, Missionskyrkan",59.731916,13.136205,1,,
9021017366097000,"Västra Ämtervik, Sundéns Handel",59.722277,13.141384,1,,
9021017366099000,Åsegård,60.004057,13.145096,1,,
9021017366100000,Ängen,59.671334,13.148715,1,,
9021017366103000,Öjenäs,59.987162,13.141398,1,,
9021017366107000,Östanås,59.821667,13.204160,1,,
9021017366108000,Östra Ingersby,59.804852,13.189072,1,,
9021017366109000,Bäcksätra,59.924136,13.248373,1,,
9021017366110000,Skogen,59.757808,13.300320,1,,
9021017366111000,Bogerud,59.750261,13.327098,1,,
9021017366114000,"Gräsmark, Kyrkogatan",59.945137,12.907090,1,,
9021017366116000,Granhult,59.896101,12.917016,1,,
9021017366117000,Stenserud,59.882216,12.926049,1,,
9021017366118000,Krokbäcken,59.871151,12.940028,1,,
9021017366119000,Södra Västerrottna,59.839775,12.955559,1,,
9021017366121000,Västansjövägen,59.792541,13.076100,1,,
9021017366125000,Rottneros Park,59.802331,13.122375,1,,
9021017366127000,Pekås,59.843989,13.126159,1,,
9021017366128000,Södra Stöpafors,59.949428,13.108838,1,,
9021017366132000,Gräsmarks gård,59.995092,12.881847,1,,
9021017366133000,Dalen,59.954479,12.892878,1,,
9021017366135000,Bråne,59.987722,12.859032,1,,
9021017366137000,Västra Askersbyvägen,59.794139,13.193618,1,,
9021017366138000,Västmyrsvägen,59.766504,13.202135,1,,
9021017366139000,Bygärdet,59.751344,13.209313,1,,
9021017366141000,"Sunne, Hagen",59.844841,13.139815,1,,
9021017366150000,Kärrviken,60.057959,13.103159,1,,
9021017366189000,"Sunne, Sparbankshallen",59.842683,13.164151,1,,
9021017380021000,Almar,59.451097,13.452554,1,,
9021017380024000,"Karlstad, Vikenkyrkan",59.375008,13.495699,1,,
9021017380044000,"Karlstad, Innebandyarena",59.384338,13.483570,1,,
9021017380059000,Bjällerud,59.472371,13.344407,1,,
9021017380076000,"Karlstad, Östra Torggatan",59.381914,13.504347,1,,
